"Seq","AOU","English_Common_Name","Freanch_Common_Name","Spanish_Common_Name","ORDER","Family","Genus","Species","ScientificName"
59,1590,"Common Eider","Eider à duvet","Somateria mollissima","Anseriformes","Anatidae","Somateria","mollissima","Somateria mollissima"
60,1550,"Harlequin Duck","Arlequin plongeur","Histrionicus histrionicus","Anseriformes","Anatidae","Histrionicus","histrionicus","Histrionicus histrionicus"
61,1660,"Surf Scoter","Macreuse à front blanc","Melanitta perspicillata","Anseriformes","Anatidae","Melanitta","perspicillata","Melanitta perspicillata"
62,1650,"White-winged Scoter","Macreuse à ailes blanches","Melanitta deglandi","Anseriformes","Anatidae","Melanitta","deglandi","Melanitta deglandi"
65,1630,"Black Scoter","Macreuse à bec jaune","Melanitta americana","Anseriformes","Anatidae","Melanitta","americana","Melanitta americana"
66,1657,"unid. scoter","unid macreuse sp.","Melanitta sp.","Anseriformes","Anatidae","Melanitta","sp.","Melanitta sp."
67,1540,"Long-tailed Duck","Harelde kakawi","Clangula hyemalis","Anseriformes","Anatidae","Clangula","hyemalis","Clangula hyemalis"
68,1530,"Bufflehead","Petit Garrot","Bucephala albeola","Anseriformes","Anatidae","Bucephala","albeola","Bucephala albeola"
69,1510,"Common Goldeneye","Garrot à oeil d'or","Bucephala clangula","Anseriformes","Anatidae","Bucephala","clangula","Bucephala clangula"
70,1520,"Barrow's Goldeneye","Garrot d'Islande","Bucephala islandica","Anseriformes","Anatidae","Bucephala","islandica","Bucephala islandica"
71,1512,"unid. Common Goldeneye / Barrow's Goldeneye","unid Garrot à oeil d'or / Garrot d'Islande","Bucephala clangula / islandica","Anseriformes","Anatidae","Bucephala","clangula / islandica","Bucephala clangula / islandica"
73,1310,"Hooded Merganser","Harle couronné","Lophodytes cucullatus","Anseriformes","Anatidae","Lophodytes","cucullatus","Lophodytes cucullatus"
74,1290,"Common Merganser","Grand Harle","Mergus merganser","Anseriformes","Anatidae","Mergus","merganser","Mergus merganser"
75,1300,"Red-breasted Merganser","Harle huppé","Mergus serrator","Anseriformes","Anatidae","Mergus","serrator","Mergus serrator"
77,1670,"Ruddy Duck","Érismature rousse","Oxyura jamaicensis","Anseriformes","Anatidae","Oxyura","jamaicensis","Oxyura jamaicensis"
78,3110,"Plain Chachalaca","Ortalide chacamel","Ortalis vetula","Galliformes","Cracidae","Ortalis","vetula","Ortalis vetula"
86,2920,"Mountain Quail","Colin des montagnes","Oreortyx pictus","Galliformes","Odontophoridae","Oreortyx","pictus","Oreortyx pictus"
91,2890,"Northern Bobwhite","Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae","Colinus","virginianus","Colinus virginianus"
93,2930,"Scaled Quail","Colin écaillé","Callipepla squamata","Galliformes","Odontophoridae","Callipepla","squamata","Callipepla squamata"
95,2940,"California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae","Callipepla","californica","Callipepla californica"
96,2950,"Gambel's Quail","Colin de Gambel","Callipepla gambelii","Galliformes","Odontophoridae","Callipepla","gambelii","Callipepla gambelii"
97,2960,"Montezuma Quail","Colin arlequin","Cyrtonyx montezumae","Galliformes","Odontophoridae","Cyrtonyx","montezumae","Cyrtonyx montezumae"
101,2882,"Chukar","Perdrix choukar","Alectoris chukar","Galliformes","Phasianidae","Alectoris","chukar","Alectoris chukar"
104,2881,"Gray Partridge","Perdrix grise","Perdix perdix","Galliformes","Phasianidae","Perdix","perdix","Perdix perdix"
105,3091,"Ring-necked Pheasant","Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae","Phasianus","colchicus","Phasianus colchicus"
106,3095,"Indian Peafowl","Paon bleu","Pavo cristatus","Galliformes","Phasianidae","Pavo","cristatus","Pavo cristatus"
107,3000,"Ruffed Grouse","Gélinotte huppée","Bonasa umbellus","Galliformes","Phasianidae","Bonasa","umbellus","Bonasa umbellus"
108,3090,"Greater Sage-Grouse","Tétras des armoises","Centrocercus urophasianus","Galliformes","Phasianidae","Centrocercus","urophasianus","Centrocercus urophasianus"
109,3089,"Gunnison Sage-Grouse","Tétras du Gunnison","Centrocercus minimus","Galliformes","Phasianidae","Centrocercus","minimus","Centrocercus minimus"
110,2980,"Spruce Grouse","Tétras du Canada","Falcipennis canadensis","Galliformes","Phasianidae","Falcipennis","canadensis","Falcipennis canadensis"
111,3010,"Willow Ptarmigan","Lagopède des saules","Lagopus lagopus","Galliformes","Phasianidae","Lagopus","lagopus","Lagopus lagopus"
112,3020,"Rock Ptarmigan","Lagopède alpin","Lagopus muta","Galliformes","Phasianidae","Lagopus","muta","Lagopus muta"
113,3040,"White-tailed Ptarmigan","Lagopède à queue blanche","Lagopus leucura","Galliformes","Phasianidae","Lagopus","leucura","Lagopus leucura"
114,2970,"Dusky Grouse","Tétras sombre","Dendragapus obscurus","Galliformes","Phasianidae","Dendragapus","obscurus","Dendragapus obscurus"
115,2971,"Sooty Grouse","Tétras fuligineux","Dendragapus fuliginosus","Galliformes","Phasianidae","Dendragapus","fuliginosus","Dendragapus fuliginosus"
116,2973,"unid. Dusky Grouse / Sooty Grouse","unid Tétras sombre / Tétras fuligineux","Dendragapus obscurus / fuliginosus","Galliformes","Phasianidae","Dendragapus","obscurus / fuliginosus","Dendragapus obscurus / fuliginosus"
117,3080,"Sharp-tailed Grouse","Tétras à queue fine","Tympanuchus phasianellus","Galliformes","Phasianidae","Tympanuchus","phasianellus","Tympanuchus phasianellus"
118,3050,"Greater Prairie-Chicken","Tétras des prairies","Tympanuchus cupido","Galliformes","Phasianidae","Tympanuchus","cupido","Tympanuchus cupido"
119,3070,"Lesser Prairie-Chicken","Tétras pâle","Tympanuchus pallidicinctus","Galliformes","Phasianidae","Tympanuchus","pallidicinctus","Tympanuchus pallidicinctus"
120,3100,"Wild Turkey","Dindon sauvage","Meleagris gallopavo","Galliformes","Phasianidae","Meleagris","gallopavo","Meleagris gallopavo"
123,50,"Least Grebe","Grèbe minime","Tachybaptus dominicus","Podicipediformes","Podicipedidae","Tachybaptus","dominicus","Tachybaptus dominicus"
124,60,"Pied-billed Grebe","Grèbe à bec bigarré","Podilymbus podiceps","Podicipediformes","Podicipedidae","Podilymbus","podiceps","Podilymbus podiceps"
125,30,"Horned Grebe","Grèbe esclavon","Podiceps auritus","Podicipediformes","Podicipedidae","Podiceps","auritus","Podiceps auritus"
126,20,"Red-necked Grebe","Grèbe jougris","Podiceps grisegena","Podicipediformes","Podicipedidae","Podiceps","grisegena","Podiceps grisegena"
127,40,"Eared Grebe","Grèbe à cou noir","Podiceps nigricollis","Podicipediformes","Podicipedidae","Podiceps","nigricollis","Podiceps nigricollis"
128,10,"Western Grebe","Grèbe élégant","Aechmophorus occidentalis","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis","Aechmophorus occidentalis"
129,11,"Clark's Grebe","Grèbe à face blanche","Aechmophorus clarkii","Podicipediformes","Podicipedidae","Aechmophorus","clarkii","Aechmophorus clarkii"
130,12,"unid. Western Grebe / Clark's Grebe","unid Grèbe élégant / Grèbe à face blanche","Aechmophorus occidentalis / clarkii","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis / clarkii","Aechmophorus occidentalis / clarkii"
131,3131,"Rock Pigeon","Pigeon biset","Columba livia","Columbiformes","Columbidae","Columba","livia","Columba livia"
135,3140,"White-crowned Pigeon","Pigeon à couronne blanche","Patagioenas leucocephala","Columbiformes","Columbidae","Patagioenas","leucocephala","Patagioenas leucocephala"
136,3130,"Red-billed Pigeon","Pigeon à bec rouge","Patagioenas flavirostris","Columbiformes","Columbidae","Patagioenas","flavirostris","Patagioenas flavirostris"
137,3120,"Band-tailed Pigeon","Pigeon à queue barrée","Patagioenas fasciata","Columbiformes","Columbidae","Patagioenas","fasciata","Patagioenas fasciata"
140,3152,"African Collared-Dove (a.k.a. Ringed Turtle-Dove)","Tourterelle rieuse","Streptopelia roseogrisea","Columbiformes","Columbidae","Streptopelia","roseogrisea","Streptopelia roseogrisea"
142,22860,"Eurasian Collared-Dove","Tourterelle turque","Streptopelia decaocto","Columbiformes","Columbidae","Streptopelia","decaocto","Streptopelia decaocto"
143,3151,"Spotted Dove","Tourterelle tigrine","Streptopelia chinensis","Columbiformes","Columbidae","Streptopelia","chinensis","Streptopelia chinensis"
144,3210,"Inca Dove","Colombe inca","Columbina inca","Columbiformes","Columbidae","Columbina","inca","Columbina inca"
145,3200,"Common Ground Dove","Colombe à queue noire","Columbina passerina","Columbiformes","Columbidae","Columbina","passerina","Columbina passerina"
147,3201,"Ruddy Ground Dove","Colombe rousse","Columbina talpacoti","Columbiformes","Columbidae","Columbina","talpacoti","Columbina talpacoti"
152,3180,"White-tipped Dove","Colombe de Verreaux","Leptotila verreauxi","Columbiformes","Columbidae","Leptotila","verreauxi","Leptotila verreauxi"
158,3190,"White-winged Dove","Tourterelle à ailes blanches","Zenaida asiatica","Columbiformes","Columbidae","Zenaida","asiatica","Zenaida asiatica"
160,3160,"Mourning Dove","Tourterelle triste","Zenaida macroura","Columbiformes","Columbidae","Zenaida","macroura","Zenaida macroura"
162,3830,"Smooth-billed Ani","Ani à bec lisse","Crotophaga ani","Cuculiformes","Cuculidae","Crotophaga","ani","Crotophaga ani"
163,3840,"Groove-billed Ani","Ani à bec cannelé","Crotophaga sulcirostris","Cuculiformes","Cuculidae","Crotophaga","sulcirostris","Crotophaga sulcirostris"
168,3850,"Greater Roadrunner","Grand Géocoucou","Geococcyx californianus","Cuculiformes","Cuculidae","Geococcyx","californianus","Geococcyx californianus"
173,3870,"Yellow-billed Cuckoo","Coulicou à bec jaune","Coccyzus americanus","Cuculiformes","Cuculidae","Coccyzus","americanus","Coccyzus americanus"
174,3860,"Mangrove Cuckoo","Coulicou manioc","Coccyzus minor","Cuculiformes","Cuculidae","Coccyzus","minor","Coccyzus minor"
175,3880,"Black-billed Cuckoo","Coulicou à bec noir","Coccyzus erythropthalmus","Cuculiformes","Cuculidae","Coccyzus","erythropthalmus","Coccyzus erythropthalmus"
176,3875,"unid. Yellow-billed Cuckoo / Black-billed Cuckoo","unid Coulicou à bec jaune / Coulicou à bec noir","Coccyzus americanus / erythropthalmus","Cuculiformes","Cuculidae","Coccyzus","americanus / erythropthalmus","Coccyzus americanus / erythropthalmus"
178,4210,"Lesser Nighthawk","Engoulevent minime","Chordeiles acutipennis","Caprimulgiformes","Caprimulgidae","Chordeiles","acutipennis","Chordeiles acutipennis"
179,4200,"Common Nighthawk","Engoulevent d'Amérique","Chordeiles minor","Caprimulgiformes","Caprimulgidae","Chordeiles","minor","Chordeiles minor"
180,4201,"Antillean Nighthawk","Engoulevent piramidig","Chordeiles gundlachii","Caprimulgiformes","Caprimulgidae","Chordeiles","gundlachii","Chordeiles gundlachii"
181,4205,"unid. Lesser Nighthawk / Common Nighthawk","unid Engoulevent minime / Engoulevent d'Amérique","Chordeiles acutipennis / minor","Caprimulgiformes","Caprimulgidae","Chordeiles","acutipennis / minor","Chordeiles acutipennis / minor"
182,4206,"unid. Common Nighthawk / Antillean Nighthawk","unid Engoulevent d'Amérique / piramidig","Chordeiles minor / gundlachii","Caprimulgiformes","Caprimulgidae","Chordeiles","minor / gundlachii","Chordeiles minor / gundlachii"
183,4190,"Common Pauraque","Engoulevent pauraqué","Nyctidromus albicollis","Caprimulgiformes","Caprimulgidae","Nyctidromus","albicollis","Nyctidromus albicollis"
184,4180,"Common Poorwill","Engoulevent de Nuttall","Phalaenoptilus nuttallii","Caprimulgiformes","Caprimulgidae","Phalaenoptilus","nuttallii","Phalaenoptilus nuttallii"
187,4160,"Chuck-will's-widow","Engoulevent de Caroline","Antrostomus carolinensis","Caprimulgiformes","Caprimulgidae","Antrostomus","carolinensis","Antrostomus carolinensis"
191,4171,"Eastern Whip-poor-will","Engoulevent bois-pourri","Antrostomus vociferus","Caprimulgiformes","Caprimulgidae","Antrostomus","vociferus","Antrostomus vociferus"
192,4172,"Mexican Whip-poor-will","Engoulevent d'Arizona","Antrostomus arizonae","Caprimulgiformes","Caprimulgidae","Antrostomus","arizonae","Antrostomus arizonae"
197,4220,"Black Swift","Martinet sombre","Cypseloides niger","Apodiformes","Apodidae","Cypseloides","niger","Cypseloides niger"
202,4230,"Chimney Swift","Martinet ramoneur","Chaetura pelagica","Apodiformes","Apodidae","Chaetura","pelagica","Chaetura pelagica"
203,4240,"Vaux's Swift","Martinet de Vaux","Chaetura vauxi","Apodiformes","Apodidae","Chaetura","vauxi","Chaetura vauxi"
207,4250,"White-throated Swift","Martinet à gorge blanche","Aeronautes saxatalis","Apodiformes","Apodidae","Aeronautes","saxatalis","Aeronautes saxatalis"
220,4260,"Rivoli's Hummingbird","Colibri de Rivoli","Eugenes fulgens","Apodiformes","Trochilidae","Eugenes","fulgens","Eugenes fulgens"
225,4270,"Blue-throated Mountain-gem","Colibri à gorge bleue","Lampornis clemenciae","Apodiformes","Trochilidae","Lampornis","clemenciae","Lampornis clemenciae"
230,4370,"Lucifer Hummingbird","Colibri lucifer","Calothorax lucifer","Apodiformes","Trochilidae","Calothorax","lucifer","Calothorax lucifer"
232,4280,"Ruby-throated Hummingbird","Colibri à gorge rubis","Archilochus colubris","Apodiformes","Trochilidae","Archilochus","colubris","Archilochus colubris"
233,4290,"Black-chinned Hummingbird","Colibri à gorge noire","Archilochus alexandri","Apodiformes","Trochilidae","Archilochus","alexandri","Archilochus alexandri"
234,4295,"unid. Ruby-throated / Black-chinned Hummingbird","unid Colibri à gorge rubis / Colibri à gorge noire","Archilochus colubris / alexandri","Apodiformes","Trochilidae","Archilochus","colubris / alexandri","Archilochus colubris / alexandri"
236,4310,"Anna's Hummingbird","Colibri d'Anna","Calypte anna","Apodiformes","Trochilidae","Calypte","anna","Calypte anna"
237,4300,"Costa's Hummingbird","Colibri de Costa","Calypte costae","Apodiformes","Trochilidae","Calypte","costae","Calypte costae"
240,4320,"Broad-tailed Hummingbird","Colibri à queue large","Selasphorus platycercus","Apodiformes","Trochilidae","Selasphorus","platycercus","Selasphorus platycercus"
241,4330,"Rufous Hummingbird","Colibri roux","Selasphorus rufus","Apodiformes","Trochilidae","Selasphorus","rufus","Selasphorus rufus"
242,4340,"Allen's Hummingbird","Colibri d'Allen","Selasphorus sasin","Apodiformes","Trochilidae","Selasphorus","sasin","Selasphorus sasin"
243,4335,"unid. Rufous Hummingbird / Allen's Hummingbird","unid Colibri roux / Colibri d'Allen","Selasphorus rufus / sasin","Apodiformes","Trochilidae","Selasphorus","rufus / sasin","Selasphorus rufus / sasin"
244,4402,"unid. hummingbird","unid Colibri sp.","Trochilid sp.","Apodiformes","Trochilidae","Trochilid","sp.","Trochilid sp."
245,4360,"Calliope Hummingbird","Colibri calliope","Selasphorus calliope","Apodiformes","Trochilidae","Selasphorus","calliope","Selasphorus calliope"
250,4410,"Broad-billed Hummingbird","Colibri circé","Cynanthus latirostris","Apodiformes","Trochilidae","Cynanthus","latirostris","Cynanthus latirostris"
266,4390,"Buff-bellied Hummingbird","Ariane du Yucatan","Amazilia yucatanensis","Apodiformes","Trochilidae","Amazilia","yucatanensis","Amazilia yucatanensis"
268,4391,"Violet-crowned Hummingbird","Ariane à couronne violette","Amazilia violiceps","Apodiformes","Trochilidae","Amazilia","violiceps","Amazilia violiceps"
273,2150,"Yellow Rail","Râle jaune","Coturnicops noveboracensis","Gruiformes","Rallidae","Coturnicops","noveboracensis","Coturnicops noveboracensis"
276,2160,"Black Rail","Râle noir","Laterallus jamaicensis","Gruiformes","Rallidae","Laterallus","jamaicensis","Laterallus jamaicensis"
278,2111,"Ridgway's Rail","Râle de Californie","Rallus obsoletus","Gruiformes","Rallidae","Rallus","obsoletus","Rallus obsoletus"
279,2110,"Clapper Rail","Râle tapageur","Rallus crepitans","Gruiformes","Rallidae","Rallus","crepitans","Rallus crepitans"
281,2080,"King Rail","Râle élégant","Rallus elegans","Gruiformes","Rallidae","Rallus","elegans","Rallus elegans"
282,2090,"unid. Clapper / King Rail","unid Râle élégant / Râle Gris","Rallus crepitans / elegans","Gruiformes","Rallidae","Rallus","crepitans / elegans","Rallus crepitans / elegans"
283,2120,"Virginia Rail","Râle de Virginie","Rallus limicola","Gruiformes","Rallidae","Rallus","limicola","Rallus limicola"
287,2140,"Sora","Marouette de Caroline","Porzana carolina","Gruiformes","Rallidae","Porzana","carolina","Porzana carolina"
291,2180,"Purple Gallinule","Talève violacée","Porphyrio martinicus","Gruiformes","Rallidae","Porphyrio","martinicus","Porphyrio martinicus"
292,21930,"Purple Swamphen","Talève sultane","Porphyrio porphyrio","Gruiformes","Rallidae","Porphyrio","porphyrio","Porphyrio porphyrio"
293,2190,"Common Gallinule","Gallinule d'Amérique","Gallinula galeata","Gruiformes","Rallidae","Gallinula","galeata","Gallinula galeata"
296,2210,"American Coot","Foulque d'Amérique","Fulica americana","Gruiformes","Rallidae","Fulica","americana","Fulica americana"
298,2070,"Limpkin","Courlan brun","Aramus guarauna","Gruiformes","Aramidae","Aramus","guarauna","Aramus guarauna"
299,2060,"Sandhill Crane","Grue du Canada","Antigone canadensis","Gruiformes","Gruidae","Antigone","canadensis","Antigone canadensis"
301,2040,"Whooping Crane","Grue blanche","Grus americana","Gruiformes","Gruidae","Grus","americana","Grus americana"
304,2260,"Black-necked Stilt","Échasse d'Amérique","Himantopus mexicanus","Charadriiformes","Recurvirostridae","Himantopus","mexicanus","Himantopus mexicanus"
305,2250,"American Avocet","Avocette d'Amérique","Recurvirostra americana","Charadriiformes","Recurvirostridae","Recurvirostra","americana","Recurvirostra americana"
307,2860,"American Oystercatcher","Huîtrier d'Amérique","Haematopus palliatus","Charadriiformes","Haematopodidae","Haematopus","palliatus","Haematopus palliatus"
308,2870,"Black Oystercatcher","Huîtrier de Bachman","Haematopus bachmani","Charadriiformes","Haematopodidae","Haematopus","bachmani","Haematopus bachmani"
311,2700,"Black-bellied Plover","Pluvier argenté","Pluvialis squatarola","Charadriiformes","Charadriidae","Pluvialis","squatarola","Pluvialis squatarola"
313,2720,"American Golden-Plover","Pluvier bronzé","Pluvialis dominica","Charadriiformes","Charadriidae","Pluvialis","dominica","Pluvialis dominica"
314,2721,"Pacific Golden-Plover","Pluvier fauve","Pluvialis fulva","Charadriiformes","Charadriidae","Pluvialis","fulva","Pluvialis fulva"
316,2730,"Killdeer","Pluvier kildir","Charadrius vociferus","Charadriiformes","Charadriidae","Charadrius","vociferus","Charadrius vociferus"
317,2750,"Common Ringed Plover","Pluvier grand-gravelot","Charadrius hiaticula","Charadriiformes","Charadriidae","Charadrius","hiaticula","Charadrius hiaticula"
318,2740,"Semipalmated Plover","Pluvier semipalmé","Charadrius semipalmatus","Charadriiformes","Charadriidae","Charadrius","semipalmatus","Charadrius semipalmatus"
319,2770,"Piping Plover","Pluvier siffleur","Charadrius melodus","Charadriiformes","Charadriidae","Charadrius","melodus","Charadrius melodus"
323,2800,"Wilson's Plover","Pluvier de Wilson","Charadrius wilsonia","Charadriiformes","Charadriidae","Charadrius","wilsonia","Charadrius wilsonia"
325,2810,"Mountain Plover","Pluvier montagnard","Charadrius montanus","Charadriiformes","Charadriidae","Charadrius","montanus","Charadrius montanus"
326,2780,"Snowy Plover","Pluvier neigeux","Charadrius nivosus","Charadriiformes","Charadriidae","Charadrius","nivosus","Charadrius nivosus"
328,2610,"Upland Sandpiper","Maubèche des champs","Bartramia longicauda","Charadriiformes","Scolopacidae","Bartramia","longicauda","Bartramia longicauda"
329,2680,"Bristle-thighed Curlew","Courlis d'Alaska","Numenius tahitiensis","Charadriiformes","Scolopacidae","Numenius","tahitiensis","Numenius tahitiensis"
330,2650,"Whimbrel","Courlis corlieu","Numenius phaeopus","Charadriiformes","Scolopacidae","Numenius","phaeopus","Numenius phaeopus"
332,2640,"Long-billed Curlew","Courlis à long bec","Numenius americanus","Charadriiformes","Scolopacidae","Numenius","americanus","Numenius americanus"
336,2500,"Bar-tailed Godwit","Barge rousse","Limosa lapponica","Charadriiformes","Scolopacidae","Limosa","lapponica","Limosa lapponica"
338,2510,"Hudsonian Godwit","Barge hudsonienne","Limosa haemastica","Charadriiformes","Scolopacidae","Limosa","haemastica","Limosa haemastica"
339,2490,"Marbled Godwit","Barge marbrée","Limosa fedoa","Charadriiformes","Scolopacidae","Limosa","fedoa","Limosa fedoa"
340,2830,"Ruddy Turnstone","Tournepierre à collier","Arenaria interpres","Charadriiformes","Scolopacidae","Arenaria","interpres","Arenaria interpres"
341,2840,"Black Turnstone","Tournepierre noir","Arenaria melanocephala","Charadriiformes","Scolopacidae","Arenaria","melanocephala","Arenaria melanocephala"
343,2340,"Red Knot","Bécasseau maubèche","Calidris canutus","Charadriiformes","Scolopacidae","Calidris","canutus","Calidris canutus"
344,2820,"Surfbird","Bécasseau du ressac","Calidris virgata","Charadriiformes","Scolopacidae","Calidris","virgata","Calidris virgata"
345,2600,"Ruff","Combattant varié","Calidris pugnax","Charadriiformes","Scolopacidae","Calidris","pugnax","Calidris pugnax"
347,2380,"Sharp-tailed Sandpiper","Bécasseau à queue pointue","Calidris acuminata","Charadriiformes","Scolopacidae","Calidris","acuminata","Calidris acuminata"
348,2330,"Stilt Sandpiper","Bécasseau à échasses","Calidris himantopus","Charadriiformes","Scolopacidae","Calidris","himantopus","Calidris himantopus"
353,2422,"Red-necked Stint","Bécasseau à col roux","Calidris ruficollis","Charadriiformes","Scolopacidae","Calidris","ruficollis","Calidris ruficollis"
354,2480,"Sanderling","Bécasseau sanderling","Calidris alba","Charadriiformes","Scolopacidae","Calidris","alba","Calidris alba"
355,2430,"Dunlin","Bécasseau variable","Calidris alpina","Charadriiformes","Scolopacidae","Calidris","alpina","Calidris alpina"
356,2356,"Rock Sandpiper","Bécasseau des Aléoutiennes","Calidris ptilocnemis","Charadriiformes","Scolopacidae","Calidris","ptilocnemis","Calidris ptilocnemis"
357,2350,"Purple Sandpiper","Bécasseau violet","Calidris maritima","Charadriiformes","Scolopacidae","Calidris","maritima","Calidris maritima"
358,2410,"Baird's Sandpiper","Bécasseau de Baird","Calidris bairdii","Charadriiformes","Scolopacidae","Calidris","bairdii","Calidris bairdii"
360,2420,"Least Sandpiper","Bécasseau minuscule","Calidris minutilla","Charadriiformes","Scolopacidae","Calidris","minutilla","Calidris minutilla"
361,2400,"White-rumped Sandpiper","Bécasseau à croupion blanc","Calidris fuscicollis","Charadriiformes","Scolopacidae","Calidris","fuscicollis","Calidris fuscicollis"
